Jump to:,,,,,,,,ア,,,,,イ,,,,,ウ,,,,,エ,,,,,オ,,,,,カ,,,,,キ,,,,,ク,,,,,ケ,,,,,コ,,,,,サ,,,,,ツ,,,,,ス,,,,,セ,,,,,ソ,,,,,タ,,,,,チ,,,,,ツ,,,,,テ,,,,,ト,,,,,ナ,,,,,二,,,,,ヌ,,,,,ネ,,,,,ノ,,,,,ハ,,,,,ヒ,,,,,フ,,,,,へ,,,,,ホ,,,,,マ,,,,,ミ,,,,,ム,,,,,メ,,,,,モ,,,,,ヤ,,,,,ユ,,,,,ヨ,,,,,ラ,,,,,リ,,,,,ル,,,,,レ,,,,,ロ,,,,,ワ,,,,,ン,
,,,,,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation
,,,,,,,,,,,,,,,,"ウッスリ,",ussuri,*faintly* *thinly*,,,,,,,,,,,,,がっぽり,,,,,,,,,,ぐしょり,,,,,,,,,,ごしごし,,(2) *rub rub*,,,ざらっ,,(2) *granular* *crumbling*;,"Ex: Stir-fry veggies where you mix ""everything but the kitchen sink"". ",,"ジョロジョロ,",joro joro,*flow* *pour*,"Water or liquid flowing or pouring. See also *dara dara*, *jururu*, and *zururu*. ",,,,,,,,,,,,,,,,,,,,,,ぢーっ,,,,,,,,,,,,,,,どおおん,,(2) *ba-ba-bam!* *ba bam*,(2) Another SFX for *ta-dah* ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*rustling*,,,,,,,,,,(5) *suddenly*,,,"ペロペロ,",pero pero,*lap lap* *lapping* *lick lick*,Like a dog or kitten. ,,"ホケ,",hoke,*okay* *ok*,"More of a Japanese-ified version of the english ""OK"", spoken with a somewhat dejected, defeated, or agreeing sigh. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うっすり,,,,,,,,,,,,,,,"ガプ,",gapu,*big bite* *chomp*,See also *paku*. ,,"ギュルルルル,",gyururururu,*rumblllllle* (stomach),,,,,,,,,,,,,"ゴソ,",goso,(1) *rustle* ,(1) When you are searching for something.,,,,(3) *coarse* *sandy* *gritty*;,,,じょろじょろ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バラバラ,",bara bara,(1) *loose*;,"(1) Something suddenly falling apart, Ex: suddenly the cloud loosed a thunderbolt;",,"ビワン,",biwan,*squirt*,"SFX for squirting liquid, such as water or lotion. ",,,,,,,ぺろぺろ,,,,,ほけ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウス,",usu,*muttering* *complaining*,Muttered complaining. ,,,,,,,,,,,,がぷ,,,,,ぎゅるるるる,,,,,"グシュ,",gushu,(1) *crushed wet messy*;,(1) Splatter SFX;,,,,,,,ごそ,,*rummage*;,,,,,(4) *everything* *thrown together* *dump* *toss*,,,,,,,,"スルスル,",suru suru,(1) *nimbly*;,"(1) Small animals, etc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばらばら,,(2) *scattered*,"(2) Ex: Falling rain, a randomly-moving crowd, a jigsaw puzzle in many pieces;",,びわん,,*splish*,,,"ブワッ,",buwa,(1) *whoosh*;,"(2) SFX used mainly for the shock factor, adding drama to a sudden fit of crying. Can be emotional, in despair, or in disbelief or shock. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うす,,,,,,,,,,,,,,,,,,,,"ギュウ,",gyuu,(1) *woosh*;,"(1) Fast motion. See also *byu*, *hyu*, and *pyu*;",,ぐしゅ,,(2) *squish*,(2) See also *gusha*. ,,,,,,,,,(2) *stealthy movement*,,,"ザラザラ,",zara zara,*rough* *bumpy* *sandy*,SFX for a rough texture; opposite to サラサラ (Sara sara). ,,"ジョロー,",joro-,(1) *ssshhh*; ,(1) Usually for when someone's peeing; ,,,,(2) *slides smoothly*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドピュ,",dopyu,(1) *spurt*,"(1) Spurting, such as blood. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,*disperse*,(3) Ex: A mutilated corpse;,,,,,,,ぶわっ,,(2) *bursts into tears*,,,"ペロン,",peron,(1) *lick*;,,,"ホコホコ,",hoko hoko,*mrrhmff*,"Speaking with mouth full, trying to talk around a mouthful of food. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ガラ,",gara,(1) *crumble*;,(2) SFX for lots of large things falling all over the place;,,ぎゅう,,(2) *rumble* *rrruummmbbllee* *growl*;,"(2) SFX for a growling stomach, usually from hunger;",,,,,,,,,,,,"ゴソゴソ,",goso goso,*rustle rustle* ,"To dig for something in cloth-like material, like in one's pockets. ",,ざらざら,,,,,じょろー,,(2) *pour*,"(2) Can be used for liquid pouring, but not common. ",,,,*smooth*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どぴゅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*disconnected*,"(4) SFX for fluttering paper-like material, like falling paper;",,"ビョッ,",byo,*jump* *lunge*,"SFX for getting up quickly or jumping up in surprise, shock, or horror. ",,,,*sudden tears*,,,ぺろん,,(2) *rolling up* ,,,ほこほこ,,*mff mff*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウスト,",usuto,*mutter*,"Muttered complaining. See also *boso*, *guzu*, *gyaa*, *musu*. ",,,,,,,,,,,,がら,,(2) *rocks falling*,"(3) SFX for a door opening or closing, especially the Japanese-style sliding doors",,,,(3) *hugs tightly*;,"(3) SFX for hugging someone or something with extreme enthusiasm, stronger than 「ギュ」or *gyu*;",,,,,,,,,,,,ごそごそ,,*ruffle rustle* ,,,,,,,,,,,,,"ススス,",sususu,*sliding*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*in pieces*,(5) SFX for helicopter blades spinning.,,びょっ,,,,,"ブワブワ,",buwa buwa,*spongy*,SFX for a squishy type of texture. ,,,,*rolling down*;,,,,,*munch crunch*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うすと,,,,,,,,,,,,,,,,,*tumble* *crash*;,,,,,(4) *squeeze* *clench*,(4) Like SFX for clenching one's hands. ,,"グスッリ,",gussuri,*fast asleep*,,,,,,,,,,*rummage rummage*,,,"ザシャーッ,",zasha-,*fushaa* *shaa*,"SFX for something sliding, like landing on sand and trying to stop. ",,,,,,,すすす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドロッ,",doro,(1) *muddy*; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*in drops*,,,,,,,,ぶわぶわ,,,,,,,(3) *flipping*,,,,,*munch munch*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *rattle* *slam*,,,,,,,,ぐすっり,,*sleeping soundly*,,,,,,,,"ゴス,",gosu,*smash* *smack* *ker-wham* *wham*,To strike or kick. ,,ざしゃーっ,,,,,"ジュー,",ju-,*sizzle*,Like meat on a BBQ. ,,"スタ,",suta,(1) *stand up*;,(1) Stand up swiftly;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どろっ,,(2) *melty* *drip* *glup*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*rustling*;,"See also *bara*, *chara chara*, and *gara gara*. ",,"ビョー,",byo-,*wind blowing*,,,,,,,,"ペロォン,",peroon,*rolls forward*,"SFX for a rolling motion. Can be in a progressive, directional motion, such as ""rolling over to the other side of the room."" ",,"ホノボノ,",hono bono,*nice* *warm*,"SFX for a nice, warm, peaceful day or weather. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウト,",uto,*nod* *nodding off*,When you are drifting off to sleep. ,,,,,,,,,,,,"ガラッ,",gara,(1) *rattle* *slam*;,SFX for opening a window/sliding door. ,,,,,,,,,*soundly*,,,,,,,,ごす,,,,,,,,,,じゅー,,,,,すた,,(2) *land*,(2) As in landing after you've jumped. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドロドロ,",doro doro,(1) *muddy*; ,"(2) SFX for something viscous flowing, such as lava flowing. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *broken*,,,びょー,,,,,"ブワハハ,",buwahaha,*evil laugh*,"Same as bwahaha, gahaha, gwahaha. ",,ぺろぉん,,*rolling*,,,ほのぼの,,*peaceful*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うと,,,,,,,,,,,,,,,がらっ,,(2) *slide* *swish*,,,"ギュウッ,",gyuu,*squeeze* *clench* *grip*,Often used when a character is upset with something.,,"グスッ,",gusu,(1) *sob* *tear*;,"(2) See also *boso*, *busu*, and *gyaa*. ",,,,,,,,,,,,"ザシ,",zashi,*lash* *slash*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どろどろ,,(2) *melty*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*battered*;,,,"ビョーン,",byo-n,*pounce* *jump*,,,ぶわはは,,*bwahaha*,,,,,*rolls up*,,,,,*nice weather*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぎゅうっ,,,See also *gyu*. ,,ぐすっ,,(2) *whine* *grumble*,,,,,,,,"ゴトン,",goton,*tonk* *clunk* *clonk*,"SfX for a light, semi-muffled clattering sound. ",,ざし,,,,,"ジュル,",juru,*drool*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*ooze ooze*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *fwp* *flap* *flip*;,,,びょーん,,,,,,,,,,,,*rolls down*,,,,,*lovely*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウトウト,",uto uto,*nod nod*,"When you are drifting off to sleep, see also *toro toro*. ",,,,,,,,,,,,"ガラガラ,",gara gara,(1) *clattering* ,"(1) Ex: rattling the shutters, or an earthquake causing things to rattle;",,,,,,,,,,,,,,,,,ごとん,,,,,"ザシュ,",zashu,*slash*,Usually with a sword. ,,じゅる,,,,,"スタスタ,",suta suta,(1) *walk straight pass* ,"(1) To walk straight past someone quickly, tends to have notion that you are ignoring the things you pass; SFX for a crowd walking;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドローン,",doro-n,(1) *sticky* *thick*; ,(1) Texture; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(5) *shoom shoom* ,,,"ビュッ,",byu,(1) *throw*; ,"(3) SFX for quick movement, see also *hyu*, *gyu*, and *pyu*; ",,"ブヨブヨ,",buyo buyo,(1) *flabby*;,(1) Like *puyo puyo* only it's even more flabby;,,"ペロリ,",perori,*eat up*,SFX emphasizing enthusiasm to eat. ,,"ホテ,",hote,*dazed*,Like after you've been in the bath or sauna for too long; feeling all and a little too warm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うとうと,,*doze off*,,,,,,,,,,,,,がらがら,,*rattling*,(2) See also *goro goro*;,,,,,,,"グタグタ,",guta guta,*waste time* *doing nothing* *yeah yeah*,"To complain, do nothing or do something in a very sluggish, unwilling matter. ",,,,,,,,,,,,ざしゅ,,,,,"ジュルル,",jururu,*drool*,"See also *dara dara*, *jo*, and *zururu*. ",,すたすた,,*power walking* ,"(2) SFX for a dance, formal. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どろーん,,(2) *doomed* *upset* *gloomy*; ,(2) When one is very down; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*fwoom fwoom*,,,びゅっ,,(2) *woosh* *whoosh* *bwoo*; ,(4) SFX for rushing forward (usually in an aggressive manner);,,ぶよぶよ,,(2) *squishy* *swollen*,(2) Waterlogged. ,,ぺろり,,,,,ほて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*rumble*;,(3) Ex: rattle as in the toy used to amuse babies. ,,"ギューン,",gyuu-n,*woosh*,"Fast motion, like sports cars. ",,ぐたぐた,,,,,,,,,,"ゴツ,",gotsu,(1) *hit* *whack*,(1) When you've hit your head on something; ,,,,,,,じゅるる,,,,,,,*thud thud thud*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *gloomy*,(3) Haunted house sense. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*spin spin*,,,,,(3) *quick movement*;,(5) SFX for something spouting out ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウトウト,",uto uto,*doze*,"SFX for falling asleep, such as a light sleep (not into the dream state yet); Nodding off. ",,,,,,,,,,,,,,(2) *gurgle*;,,,ぎゅーん,,,,,,,,,,,,,,,ごつ,,,(2) SFX for something hard like a rock. ,,"ザット,",zatto,(1) *quickly*,(1) To do something fast because they might be impatient or out of time;,,,,,,,,,*tap tap tap*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バリッ,",bari,*riiip*,,,,,(4) *charge*;,,,,,,,,"ペシ,",peshi,*slap*,"SFX for a loud smacking sound, like slapping someone on the cheek.",,"ホテホテ,",hote hote,(1) *dazed*;,(1) As in *hote*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うとうと,,*falls asleep*,,,,,,,,,,,,,,,(3) *rattle*,,,,,,,,"グター,",guta-,*drooped* *sluggish*,,,,,,,,,,,,,ざっと,,*roughly*;,"(2) To give something only a moment of attention, Ex: glance at the newspaper, skim through notes quickly.",,"ジャー,",jya-,*shaa* *shaaa*,"SFX for flowing water, such as from a faucet. ",,,,(2) *waltz by* *waltz in*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばりっ,,,,,,,(5) *spurt*,,,"ファンファン,",fan fan fan,*re---whoo- re whoo--*,Sound of sirens. ,,ぺし,,,,,ほてほて,,(2) *toddle toddle*,(2) See also *tote*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,*nods off*,,,,,,,,,,,,,"ガラン,",garan,*clatter* *rattle*,See also *bara bara* and *chara chara*. ,,"ギュウン,",gyuun,*woosh*,"Fast motion. See also *byu*, *hyu*, and *pyu*. ",,ぐたー,,,,,,,,,,,,,,,,,(2) *cursory*,,,じゃー,,,,,"スタタタ,",sutatata,(1) *running* *runs* ,(1) SFX for running;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドロン,",doron,*transform*,"Sound of magical transformation, see also *bon*, *pon*, and *pom*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,"バリ,",bari,(1) *crunch*;,(1) As in eating or chewing something crunchy.,,"ビュ,",byu,(1) *whoosh* *charge*;,"(1) SFX for a quick, fast, offensive movement (like in an offensive attack in a fight); ",,ふぁんふぁん,,,,,,,,See also *pashi*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウツラ,",utsura,*nod* *nod* half-asleep; *faintly* (seeing something),,,,,,,,,,,,,がらん,,,,,ぎゅうん,,,,,"グテングテン,",guten guten,*very drunk*,A very drunk state. ,,,,,,,"ゴウン,",goun,,The sound of a washing machine. The sound of a dryer is *guon*. ,,,,*briefly*,See also *satto*. ,,,,,,,すたたた,,*thud thud thud* ,(2) SFX for a series of even but fast steps ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どろん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばり,,(2) *crackle*,"*pori* = quietest crunching, i.e. cookies;",,びゅ,,(2) *swiftly* *shoom*,(2) SFX for swift movement. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うつら,,,,,,,,,,,,,,,,,,,,,,,,,ぐてんぐてん,,,,,,,,,,ごうん,,,,,,,,,,"ジャーン,",jya-n,*tada!* *tadaa*,"Appearance, usually meant to wow. ",,,,*tmp tmp tmp*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*sizzle*;,"*bari* = crunchy, i.e. chips;",,,,,,,"フォッフォッ,",foffo,*oh ho ho*,"SFX for loud laughter, or the laughter of an elderly person. ",,,,,,,"ホット,",hotto,*relief*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウツラウツラ,",utsura utsura,*nod nod* *half-asleep*,,,,,,,,,,,,,"ガリ,",gari,*biting lip*,,,"キッ,",ki,(1) *glare*;,(1) A momentary glare to tell someone off;,,,,,,,,,,,,,,,,,,,,,,じゃーん,,,,,,,(2) *tmp tmp tmp* *march march*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドロンパ,",doronpa,*woshka*,"SFX for ghostly, magical transformation, Ex. Doronpa in Obake no Q-taro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *scratch*;,"*kori* = soft crunch, i.e. broccoli or asparagus;",,,,,,,ふぉっふぉっ,,*oh ho ho ho*,,,"ペタペタ,",peta peta,(1) *stick stick*;,(1) In the gluing sense;,,ほっと,,*relieved*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うつらうつら,,,,,,,,,,,,,,,がり,,,,,きっ,,(2) *glint* *serious*,"(2) A moment of insight, motivation, determination, or seriousness. ",,"グツグツ,",gutsu gutsu,*boil and toil* ,SFX used when something is boiling or being simmered. ,,,,,,,"ゴウウ,",gouu,*roar*,"Can be a fire sound, often used for Hiei's fire attacks. See also *bo*, *guo-*, and *po*. ",,"ザワッ,",zawa,(1) *shine*;,(1) To light up or shine when you see someone. ,,,,,,,"ステステ,",sute sute,*tot tot*,Little kid running. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どろんぱ,,,"See also *bon*, *pon*, and *pom*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *crumple*;,(2) Ex: SFX for electricity or energy. ,,"ビュー,",byu-,(1) *wind blowing*,(1) SFX for the wind blowing ,,,,*bwahaha*,,,ぺたぺた,,(2) *pressing repeatedly*;,(3) Like when painting something on canvas using a brush. ,,,,*thank goodness*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウットリ,",uttori,*dazed*,"When you become enraptured by beauty. In rapture, in ecstasy, captivated. A rapt stare.",,,,,,,,,,,,"ガリガリ,",gari gari,(1) *thin* *anorexic*; ,(1) State of something being very thin; ,,,,,,,ぐつぐつ,,*boil*,,,,,,,,ごうう,,,,,ざわっ,,(2) *wrap*,,,"ジューッ,",jyu-,*sizzle*,Something frying on the pan. ,,すてすて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*pari* = quiet crackle.,,びゅー,,*hwoo*;,,,,,*gahaha*,,,,,(3) *stroke stroke*,,,"ホワン,",howan,*soft*,"SFX for a warm and soft object. It could be thought of as mixing ほかほか (hokahoka, warm) and ふわふわ (fuwafuwa, soft). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うっとり,,*enchanted*,,,,,,,,,,,,,がりがり,,(2) *scribble* *scribble*; ,(2) SFX of someone writing something down ferociously; ,,,,,,,,,*bubble*,,,,,,,,,,,,,,,,,,じゅーっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See also *bachi* and *biri biri*;,,,,(2) *swisshh*,,,"フッ,",fu,(1) *hmph...*;,"(1) Used usually by ""cool"" characters, or those who think they are, to show their coolness. Similar to *hmph*, but without the sense of looking down at people;",,,,,,,ほわん,,*soft and warm*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,*enthralled*,See also *ukkari*. ,,,,,,,,,,,,,,(3) *krrrk krrk* *scratch*;,(3) SFX of a cat sharpening its nails;,,"キーッ,",ki-,*screech* *creak*,Sound of something halting; braking. ,,,,*blub blub*,,,,,,,,"ゴワゴワ,",gowa gowa,*rigid*,"When the clothes you wear are stiff, rigid, and when it doesn't feel right. ",,"ザワ,",zawa,(1) *rustle*;,(1) May be specific to plants. ,,,,,,,"ステン,",suten,*falling*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドルン,",dorun,*vroom* *roar* *rumble*,SFX for the roar of an engine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) See also *giri giri* and *kiri kiri*;,,"ビューッ,",byu-,*whoosh*,"SFX for fast motion, running very fast. ",,ふっ,,(2) *sigh*;,"(2) Blowing breath out, as in blowing out a candle; see *fua*;",,"ペタン,",petan,(1) *smooth* *flat*;,(2) Flop down on the floor;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *ke-runch ke-runch*,(4) SFX for a harsh chewing sound. ,,きーっ,,,,,"グッタ,",gutta,*droopy* *wilted* *limp*,Used to describe people or plants. See also *kuta*. ,,,,,,,ごわごわ,,,,,ざわ,,(2) *crowd noise* *chatter* *buzz*,,,"ジュージュー,",jyu- jyu-,*sizzle sizzle*,"SFX for something cooking, or grilling. ",,すてん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どるん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) Like crumpling a piece of paper.,,びゅーっ,,,,,,,(3) *growl* *gurgle*;,"(3) Stomach pain, full stomach;",,ぺたん,,(2) *flop*;,"(3) Motion of falling to the floor, i.e. in shock or disbelief. ",,"ポッ,",po,(1) *drip* *plunk*,(1) *pochan* = kerplunk!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*crunch crunch*,,,,,,,,ぐった,,,,,,,,,,,,,,,,,,,,じゅーじゅー,,,,,"ステテテ,",sutetete,*runs fast*,A little kid running fast. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *disappears* *relief*;,"(4) Pressure letting up, vanishing. ",,,,(3) *slump* *slide*,,,ぽっ,,(2) *flame* *light* *blush*,"See also *pi*, *picha*, *pichon*, and *pochi*;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
